content,score
"scam charging!! there's zero info in the description about actual coat other than ""in app purchases."" not true, its either monthly or yearly payment just to SEE the app. Then they claim to have a no purchase necessary 7-day trial before charging you. LIES! I was charged for an entire year immediately. Given other reviews, I'm not optimistic I'll get my refund. I'm pissed. I would maybe be willing to pay for an app like this, but not with the false advertising money grab!",1
"This app is a scam. Don't waste your money; they are just collecting it and refuse refunds when you aren't satisfied. As an English teacher, just the grammer mistakes bother me. Additionally, it's too game-like for me. However, I instantly got an answer that they would not refund me when I asked. That's scammy. You would think they would want happy customers...so I guess I'll just leave this review from an unhappy customer.",1
This is so bad first you get in your hit with questions which is good but before you done all of them you think you can start but NO you have to pay just to get started so they aint helping us they just takeing from us,1
shame on trying to make money out of desperate people,1
"I love the idea, but I hate the fact you HAVE to pay for it. once a month for something I van do without an app? Ha! NO.",2
not free deleted straight away,1
"This app promises more than it provides. when you want to get a refund it's nearly impossible to navigate how to get refunded. There is a different name of the app. associated with the charge. Also, when trying the phone number associated with the charge on my credit card there is a recording that states that they are unable to help via phone too email, but no email. This is another Fraud app.🤨",1
we don't have to give money to you without money we want it is the bad game ever I am see,1
"Pretty good app, but the most irritating app I have EVER downloaded in terms of notifications. It sends me at least 3 notifications a week reminding me to fix my streak, which was broken many months ago, I'm only just now remembering to delete it.",2
"The notifications got to be too much. I stopped using it, and after a while it sent a notification sounding all considerate like ""since you're not active we will stop sending so many notifications"" and then promptly sent 57 million more. Deleted! Another annoying thing is the streaks. Keeping streaks may be motivating to people with ADHD at first, but then you fail it's more discouraging than anything when you get back on and it shows you that day 1 thing every single time you get on.",3
i strongly dislike applications that offer free download but have to pay for all services. this is misleading and disappointing. let people pay for the app upfront if you offer no free services. No the 7 day free trial does not benefit everyone because not everyone has a credit card,1
"it needs money, worse for ppl with money problem",1
in your childhood trauma test when it asks us to describe our parents relationship their is only options for : happily married Unhappily married divorced single parent no parents please add an option for those whose parents never got married and instead broke up and is now with other partners.,2
worst app,1
Getting tired and capturing unnecessary matters of neglectfully situations wyd?$O|_!😶‍🌫️,5
"I like this app , but still I don't know how to set alarms, 😕 and I always put my routines and alarms but still I don't know why the alarm doesn't work amd why",3
"STILL BEING CHARGED! I tried this & cancelled a year ago! I caught it going through a cc statement. I haven't had the app on this phone, I finally found it in google play with an old email. I want to delete my cc from their payment methods but since I cancelled the subscription (that wasn't supposed to be active) I can't edit payment info without resubscribing. They market towards ADHD people who are less likely to catch this. It's frustrating & disappointing.",1
worst application.. no sense of making such illogical application,1
"So many mistakes in this app. Text that's been copied and pasted in a guide but remains the same in each section with a different title, missing words. It's engaging. I fail to see that the reviews aren't bought.",2
"Sehr hilfreich, die Süße konzentriert sich mehr auf die Planung meines Tagesablaufs",5
"It's not that great, but that was okay until I tried to cancel and get a refund next day. Well they don't do refunds. Don't waste $20 thinking you can cancel it if you don't like it. Absolutely ridiculous.",1
"Relentless nagging to pay for the app. If you don't want it to be free, make it a paid app. And they don't start the nagging until you waste a bunch of time setting it up. Annoying.",1
"too ""busy"" and unrealistic. ""Go climbing?"" Nope. Match socks? puhleese! waste of money, IMO",1
"I used to love this app and would use it for building my morning and night routines but now its difficult because after every task that I add, theres an advert. its annoying and I dont want to use this app anymore",3
"It thinks it knows best. just spent ages organising my tasks to find that the app just randomly changes the order. The only way to stop it is to edit each task to put a time in. Not only is this time consuming but it's going to be a pain changing time for different days. yes you can just drop and drag the tasks, but you have to do it every time you open the app. hardly organised or productive",2
"It was terrible. After it gave me a lot of motivation I realised it is not free. I wanted to try the 7-day free version. An error was coming up and I couldn't even test it! By the way, seven days is not enough to see any major changes in anyone, they should at least make 30 days free.",1
not free but I love it 😉,5
bad it was awful disgusting,1
"It took solid 10 min. to get through all those stupid nonsense questionnaires only to get into the app. And voila, as soon as you get into the actual app the idiots start begging for $40 right from the start. The UX is non existent. Lemme experience the app first???? Maybe if I'm convinced after a few days I'll pay??????",1
not bad but purchase the plan is totally wrong,3
it is nothing more than a reminder app. doesn't really help you do anything. you have to do it yourself which is obviously the problem I have and the reason I got the app,1
"intro is offline friendly, subscription based, useless in a deadzone. also flips my tablet upside down so the buttons to press are covered by the UI. I dont know what else to reach out to you about. There is no offline mode, and the UI of the tablet covers the button on the app, and the app ovverides whatever orientation the tablet is set at. Im confused about what else I can say about it that isnt in this comment.",1
"They gathered every bit of your personal data, collecting information that might include your full name, email address, phone number, and possibly more sensitive details, under the guise of preparing for service delivery. Then, adding to the inconvenience and perhaps stirring a sense of frustration, this service requires you to provide your credit card details even to access the supposedly commitment-free, seven-day trial. This process might feel intrusive or risky to potential users who are sim",1
DON'T DO IT! I'M NOT EVEN GIVING IT 1 STAR! I CANNOT FIND A WAY TO DELETE THE SUBSCRIPTION AND DIDN'T EVEN HAVE IT 30 MINUTES!,1
"This is not a free app. You have to choose a plan before you can use it. I wish apps wouldn't show up free when they're not. If there ends up being a free version, I'll try it, but I will not do a trial when I'm going to be charged after so much time.",1
worst i spend an hour making my routine and it all just disappeared 🤬,1
"Damn, I was loving this on the first full day. By day two I was boiling with frustration. It took SO MUCH TIME to setup my routine list in the order I wanted, mainly bc the UI is poorly built to drag and drop. You have to drag and drop a few steps at a time. I get my routine list exactly the way I want it to not feel overwhelming and the next day, the few items I didn't get to are at the top of the list instead of the bottom. No. No, no, no. Immediately, this isn't the app for me.",3
this is very bad,1
wants to gather all your personal info b4 you can even start. almost deleted it because of all the invasive questions. but still continued just to find out its not a free app.... garbage. immediately uninstalled.,1
the app really changed my habits i was suffering alot from time setting but now I'm no longer suffering❤❤,5
"Really really liked this app. It's been really helpful. I've been using it since December and found I was getting a lot more things done every day. But then my phone died & I had to get a new one. Reinstalled the app, signed in & everything is gone....my tasks, my points, my stats, etc. Is that what's supposed to happen or am I missing something?",3
"It doesn't even begin to compare with habitica, it's just bad",1
it's not free. I don't see anything that is free other than 7 days. none of it appears to be free.,1
"it made it difficult for me to add to my routine and stressed me out and wanted me to pay for a bunch of things, I'm not gonna pay for an app that won't even make it easy for my daily routine, I struggle from depression, severe anxiety and ADHD and I just wanted to get better",1
"I stupidly got the year subscription before trying out the app. It's so busy, and it's hard for me to navigate. That is what throws me off and causes me not to use the app. I think I just completely wasted money and time.",1
When I feel lonely this app is always beside me. I am so lazy girl. with this app I can change my self.😉,5
"Horrible app, constantly pushing ads, asking me to pay to upgrade, asking me to rate, ALL THE TIME, then nonstop grandstanding on their accolades and ratings every chance they get, all I want is a simple app to set reminders, yet whenever I use this app I'm bombed with nonsense I don't care about.",1
why everything requires in app purchases... horrible,1
no alarm,2
I don't like to give this app one star.😡😡🤬 nothing is this is a life style routine app so I think like for what did they caused money yes they telling us to cos money for using this app I don't think so we need to give money for it app because this is tester it's not giving us proper things give us money. So I don't like it. don't install this app 🙄🙄🙄🙄😡😡😡🤬😡🤬😡🤬😡🤬😡🤬,1
"Demasiado bueno, yo lo utilizo para estar más organizada y mi confirmó que no es que no tenga tiempo si no que no me organizo",5
very difficult to cancel. difficult to use,1
"I've been swindled. I was mislead to believe I had subscribed with a trial period, but I was charged the yearly subscription right away. I cancelled the subscription immediately, only to see that the subscription wouldn't renew a year from today. What intrigued me about the app initially was the daily cleaning routine advertised on Facebook, but I see there are no preset routines to choose from, and the app appears to only be about self-care and motivation. This is not why I downloaded the app.",1
"It looked like it would auto populate tasks for you and you just use them, but you have to put everything in manually. Also charged me immediately even though I wanted the free trial. absolute waste of money and time. not happy at all",1
Nice but this app charge money so bad,2
No no no!! It asks you a ton of questions up front and then asks you to pay monthly.,1
"EDIT ⚠️ ⚠️ ⚠️ WARNING WARNING!!!! THEY CHARGED MY CARD DURING THE ""FREE TRIAL"" EVEN THOUGH I CANCELLED IN THE FIRST 20 MINUTES!!!!! WARNING WARNING WARNING ⚠️ ⚠️ ⚠️ can't edit tasks, I edit the task it says it saves and nothing happens...I have to repeatedly type in tasks instead of duplicating them to another day. no full calendar view I could find.. if this was a free app I might've rated it 2 stars.",1
"*Predatory user experience warning* Be careful. This app fishes for 5 star reviews via popups each time you open it until it gets what it wants. It forces new users into a free trial with an auto-payment after 1 week. This would be fine, but cancelling the subscription is very troublesome. There's no cancel option within the Android app itself, and you need to email them with a Google payments center transaction ID. Installing takes a minute, cancelling takes days. Best to avoid.",1
Should've just told me I had to pay for it at the start before you made me waste my time by answering all those questions. Disappointed.,1
I am so stressful everyday Me plus has rlly helped me,5
"sorry this starts of with a promising survey but then nothing, I just get overwhelmed with dozens of pre made terrible routine propositions, whait what was that survey for? aaaahhh. this is supposed to be a life coach, it's a life trigger for me. I feel stressed when I open the app by the pure weight of the bad and terrible catalogue choices. also, I can make a list of to dos on paper, why do I need to lay for an app for that feature, how is this app usefull?",1
so disgusting app this app is not working well 🤬😡,1
"First, the moment you open the app it wants you to pick a pay schedule to start the week trial. Fine. I picked the year for $20. I'd have a week to get used to the app and see if I like it. Nope. got an alert right there my credit card was instantly charged. no trial. no trying the app first. no refunds. absolute scam. would be fine if the app was good, but is terrible and difficult to navigate. doesn't even have the diet calendar I searched for and was advertised.",1
best app but only think I hate is charges,3
this is a nice app but it is not free when you will open this app it will ask to give money but I don't so I got it free,5
I don't have this app. I don't want this app. why are y'all stealing money off my damn card? I need my money back I don't need y'all to tell me how to live my life through some stupid app.,1
"Se hacen una app disque para ayudar para la ansiedad y tal, y luego van y me ponen una frase que dice ""Lo que piensas se crea"" no pues si verdad, gracias por esa frase asquerosa seguro me va a ayudar en mi proceso!, seguro todo lo demás también es real y no una estafa como todas las apps de este tipo aprovechándose.",1
zero value. I cannot navigate how to cancel this. it's still inactive but will renew. Total waste. Don't fall for it.,1
"SO NICE APP,I CAN MAKE MY DAILY ROUTINE AND THERE'S NO PROBLEM. Just the major problem is that it contains advertisements.",5
i inatalled it for another app but i didnt recieve the gift .. scam app,1
"I love this app but i have a problem whit the widgets in 4x6 screen grid, i can't see my activities Apart from the waste of the grid.",5
"I tap the heart icons on some videos, but nothing ever shows up in my library. What am I doing wrong?",4
"I've been using this app for a while and overall it's decent. However, there are a couple of frustrating issues. First, even though I changed the first day of the week to Monday in the settings, the monthly calendar still starts with Sunday. This makes rescheduling events confusing. Second, I understand the need to promote the premium version, but having a constant upgrade banner at the bottom of the screen and a full screen ad every time you open the app is distracting and annoying.",3
the ugliest app.,1
"I only used it for a few minutes and the self advertising is ridiculous, stuff like Sign up now, and the option for no is ""give up on myself"" or stuff like that. What the heck? trying to guilt us into subscribing, that is not how you make someone better, that manipulation at its worst.",1
"THE WORST THING IVE EVER GOT! First of all, it makes you answer all of these questions and makes you pay for it! like if they made an app to make my lifestyle better, I guess it's not that important to them then. SO I DELETED IT!! I'm not gonna get it ever again even if I needed it badly, might as well go to a therapist! 🙄😒",1
so bad I hate this,1
"Too kiddy, only for people who REALLY don't like themselves and have 0 discipline, or for some strange ones",3
very bad app 🤮🤮🤮,1
"At first it seemed a bit limited, for instance due to the lack of a reporting module, but after a few days of use I saw it really helps you to do things. Maybe because of the simple fact that if you miss task, you have to admit your failure to yourself when you leave it unchecked in the app... and then you see the different symbols on that day reminding you of your lack of competence. I ended subscribing it and until now, I use every day for every task, no matter how small it is",5
"As having a disciplined personality, it reduces stress and worries.",5
"did not get very far until it asked me a question where the answer buttons are at the very bottom of the screen, completely unreadable because the navigation bar overlaps them. I can't find a way to turn off the navigation bar other than switching to gesture based navigation, and that's a hard no for me. I am aware that this is a problem in android itself and not specific to this app; I will change this rating if you add a bit of padding to the bottom to circumvent this issue.",1
disgusting 🤢,2
I paid for this app thinking it was something that would kind of help me on a day-to-day basis. Not only mentally but with just daily things. You have to put every thing in yourself. I thought it would at least have general things that it would remind you of on a daily basis. Drink 8 glassed of water. Take time for yourself. Do the dishes. Then tweak and add things. That's why I got the app. If I was organized enough to do it myself I wouldn't have needed this app. It's kind of useless.,1
💝💝💝💝💝💝💝 this app will manage your life and day and destroy you aloness,5
terrible experience. no response when I emailed them.,1
i like it but i hate paying for anything 🥲 im too young,3
"awful, doesn't even save a note in the mood tracker",1
"this app is absolutely worthless. might benefit some, but you'd be better off with pen and paper or setting alarms on your phone. to me, it was a waste of money as the notifications go off at random times and not for when you set it. not to mention it's a standard notification tone, and unless you have your phone on your 24/7 you won't hear it ding. idk how it has such a high rating buy not worth it to me.",1
I tried but it wouldn't let me add the routine I wanted :(,2
Just charged my card out of nowhere and I don't remember accepting free trial or that I'll be charged later. There are zero info about the subscription at all in the app. At least give me notification warning me before charging my card even if its negligence on my part. Just very scammy imo.,1
I wanted to use this app primarily for a cleaning schedule but I was disappointed that there's no option to select a pre-made routine. I guess I didn't read well enough because when I saw advertised cleaning schedules I didn't realise that they were just printable ones. I wish there were templates to use for the digital aspect of things. I could have printed off a check list on my own.,2
"time waste app and too much money 😏👊worst app and bad comment can,t post",1
stupid and drawn out test when launching the app to sell you a subscription,1
There is no dark mode feature which is frustrating.,5
"I can't imagine why I paid $20 for this, as there aren't unique features...but I am getting through my every day must-do lists. BUT!! THIS BUG!? It's stuck in ""35 day streak"" and I've been using it for 110 days. The 1st accomplishment graphic is correct. The 2nd needs to go. it's annoying. read the room.",3
"I'm very disappointed. I bought this app and I thought it would open up more options but it didn't. Can you please make an option to turn off the money change sound? It is very annoying,or make other options. It has to be a very basic technical operation. This app could be very good if it just had more options on just basic things. I don't want to be disappointed, but I'm sad to say I am. I can't afford apps,but really wanted one that could help me keep up with my medications.",1
"Too many others have had money stolen by this app. I'm a disabled pensioner, taking money without notice can make people suicidal. Please stop doing that. Can't stand dishonest apps and people",1
worst,1
bad,1
I think it needs to be up front of the charges before you fill out the questionnaire. it's misleading,1
"Not sure how good or bad it is, but after installing this app they waste your time to ask multiple questions and will take you 5 minutes. Waste of Time because after completion of questions there are multiple pop-ups for subscription.",3
"very yumm, but lots of ads in-between every task that you make, so its annoying, but other then that works decently well? i mean i know they gotta make money, but the amount of ads seems obnoxious, and im too broke to pay for premium.",4
showed 7 days free trial but was charged immediately. I cancelled the subscription in around 30 minutes and got a mail for the same saying no refund will be initiated. is it a scam or what?,1
I feel bad that this app is not free,4
not that much nice but it was nice,5
"it is good, but unfortunately it is not free",5
5 questions and the only option is to sign up for therapy no refund offered SCAM,1
"everything requires payment. The developers don't care about people, they are just after the money. sad.",1
requires you to pay. bad app do not install,1
why are there only white emojis? are you racist or something?,1
"I got charged for a premium membership I never wanted, which over drafted my account because I went through PayPal. They charged 20 to my PayPal which got taken out DAYS later so I wasn't aware. My bank issued an over charge fee bc I was 14 in negatives and now I owe 56. This is a scam, I am furious",1
"I decided to try this app as it states free 7 day trial. After inputting the payment information my card was immediately charged, although the app states in red letters your card will not be charged. Contacted support and keep getting the same response, they can't find my email and they need the receipt and a number. All of this has been submitted but they refuse to assist with a refund. DON'T USE THIS APP, IT'S A SCAM",1
I reached out to them through email for a refund and they keep saying that they did and I'll be refunded but no refund was returned to me. Install this app if you want misinformation from a scammer!,1
Worst app and totally not like the ad for it describes. Also already gave a 1 star and said I hate that I wasted money on it and it deleted my review and replaced it with a 5 star. Sooo. There's that.,1
"Terrible! Tracker psych app. I thought this was just a schedule assist app, not a tracking app (AI?) continually asking what my mood was and if I needed to talk to a therapist. It got annoying & they would not issue a refund after I unsubscribed a week into it. No thanks.",1
I cancelled this subscription when I realised it wasn't what I wanted and still got charged!!,1
"Offered a free trial but I got charged 18.99 and can't seem to get a refund. BEWARE EDIT: still unable to get a refund after following the steps in their reply. AVOID AVOID AVOID No matter how many times the company states they are there to help, I have reached out numerous times to no avail.",1
"Absolutely hated it... paid for a year... used it for 20 mins & realised it's a total waste of money. The only thing I absolutely loved about it was deleting it off my phone... it's just overload city.. too much.. horrible colours... explore 'this' option.. more questions.. and more questions and more options which all lead to NOTHING getting sorted, nothing being achieved otherwise than overwhelm & a huge waste of time. *Also.. STOP with the ""How are you 'Dear'?"" Hello ""Dear"".. Dear is ICK!",1
"This app doesn't do anything! It doesn't remind or notify you to do any tasks! Nothing! Nada! Totally useless app!! I would give it zero ( 0 ) stars, but it is not possible to omit the one star. There's no way. I have found to contact customer service to ask for assistance for this app. It also their quiz on depression and pushes for paid therapists.",1
I don't like this platform. I thought I purchased a 7 day trial. But was charged $20. So I requested a refund and I'm not a fan of this platform so cancel subscription. I thought the platform was a but weird and confusing to me.,1
"Wasted 10 mins of setting up just to be met with required payment, app is not free at all, cash grab app",1
NO FREE TRIAL! It said it was a 7-day free trial but .. They charged me immediately! I canceled 2-15-2025. It says it will cancel 2-15-2026! This is RIDICULOUS!,1
Trap...you think its free until they wasted your time getting to know you then BAM! Trials and prices! Ugh ...,3
"Tried making a task and once I created it, it didn't even create. I was like ""Where's my task that I JUST created?"" Wasted my time making a task which was simple but yet disappointed of the outcome.",1
bad you have to pay no,2
"Ill update this, but my first impression was immediately negative, because of many avoidable and obvious spelling errors in the english version. Seems really unprofessional to have an app with 10M+ downloads and not do an english spell-check.",3
This is a great 😃 app. I have a TBI with ADHD. This is exactly what I needed! I tried some others but they were not a good fit for me as this one is.👍,5
"Had to delete my last 1 star review because you can only review once. But this app is a SCAM. please don't buy the full year, I have been emailing for weeks to fix the problem and I was getting replies and help right up until I sent them proof of the issue, as soon and I showed them proof of my account not working after paying the full year they went radio silent on me. They accused me of using wrong log in details etc, I'm not stupid. It's so annoying. Waste of time and money!",1
"If the application is a little broken, when I registered in it, it deleted all my previously completed tasks and I lost everything. This is frustrating, and I also do not want the application to remain in purple, and I did not find a way to change it. Can you help?",3
Extremely long and annoying onboarding experience. Let me start using the app already!!!!,3
I suffer from anxiety / depression. I find it helpful to see my tasks and be able to check them off a to-do list. I find more on the app as I use it more.,5
only.just downloaded it but i really struggle with competing things and this seems gealpful so far,5
Hi....I used your app for 2 days but I didn't like it much...then I deleted the app but forgot to cancel my subscription..but without informing me once they deducted the money which I didn't expect I request you to refund my money I have applied for cancel subscription but they say we won't refund... please try to corporate with me and give my money back,1
"I downloaded the app and started to go through it and was disappointed to find out it requires a subscription. I understand it says ""in-app purchases"" but was not clear ahead of time that it is required. I won't be using this.",2
Very expansive and they trick you by letting you answer this really long questions and only at the end the tell you it payed app.... dislike Also after you answer the million questions the app doesn't give any routine! You need to buy them they are not custom made! So they steal your answers and don't provide nothing in return,1
"horrible much question to ask, can you just start as an normal app? stop asking me questions",1
"I don't advise anyone to download this app, it's a big scam. It's just writing a to do list which you can do on your notes, calendar or even on your clock as a reminder.",1
"I had cancelled the trial within hours on the first day, and yet they still charged my credit card for a full subscription. Used their form to request refund but have yet to hear anything after a week. Sent second form request for refund today. Frustrating! Terrible practices and use experience.",1
They bill you for 7 day trial. Scam,1
Not for me. I hope uninstalling is enough to cancel the subscription.,1
"This is a basic to-do list app dressed up a bit. There's nothing particularly special about. It's got a library of mental health content, I guess, but I didn't find it to be especially well integrated to the app's to-do functions. Worst of all, my notifications don't come at the time I schedule them. When I wake up, I have notifications for everything in my morning routine because they all went off before my scheduled wake-up time.",2
"Very disorganized app. Unfortunately purchased it, uninstalled it within the week.",1
"This app wasn't the right fit for me. I'm sure it's great for a lot of ppl but I don't need an app suggesting I contact a therapist if I mark a day ""ok."" Sometimes ppl have less than stellar days but they're not in need of help. Also, no way to mark ""sick"" on mood days, and I'm not marking ""good"" or higher bc I AM SICK, so asking if I need to talk to someone bc I marked ""not good"" when I'm sick is super irritating.",3
There are no videos that show you how to set this app up. Wondering if it's a scam bc they instantly want to charge you.,1
"I installed this app for the free 7 day trial. The app immediately charged my card for am entire year of service, instead of after the 7 day trial. I deleted the app without using it and tried to get a refund back, no reply back from the company. Not sure if this is a scam",1
"Why would you need users to ""sign"" their nickname in handwriting??? This screams identity theft and scam to me.",1
"Should be shut down for FRAUD (Wish I could give ZERO stars). Signed up for the free trial and was charged the same day! I never got to make an account or try a single amenity of this app. It literally said I'm using it as a guest, but you all did not hesitate to take my money! Contacted customer service and did not get a response, and the help center didn't have any answers. I had to contact my bank to dispute the transaction. Very annoyed!",1
In-App Purchases with NO Dark Mode. In-App Purchases with NO Option to Reorder Subtasks. In-App Purchases with Updated Subtasks DISAPPEARING. In-App Purchases with FORCED Subtask Disordering if Updating Subtasks.,1
It completely doesn't work. I just kind of got stuck. From reading the other bad reviews I'm deleting it.,1
Too much of Ads. Ads showing for every task I had add. Even those Ads distracting more. TOTALLY IRRITATING WITH ADS...😑😑😑😑😑,1
This app has helped me a lot with overfacing depression and being organized it should be an app for everyone,5
You have to pay which is no big deal but still a negative. It doesn't give me notifications as it says. It doesn't help in my opinion. Please understand that this is my opinion and difficulties. Thank you.,1
"Someone wrote a review for me, and that made me extremely angry. Don't recommend this app at all. Information was stolen and they won't turn off the subscription.",1
"Its questioner is useless, its not free, too costly dont waiste time on this app",1
"I was proceeding through the setup questions, and suddenly, there was no button to continue. So I'm stuck in the setup and can't move forward. Too bad it looks interesting, but I'll never know. I can't send in any feedback because I'm stuck in the setup screen. The screen says, ""Do you relate to the statement below? I feel anxious when I have a lot to do and don't know where to start"" There is a picture but not ""Continue"" button. The only option is to go ""back"".",1
They asked me personal questions and charged me right away .!!! And they said that they offer a☝🏻☝🏻7 day trail ☝🏻☝🏻🤬 !!!!!! warning: DO NOT TRY!!!! Be happy how your life style is😁,1
Money I don't have... Excuse you I never paid for this. I'm just saying money I don't have. Money people shouldn't pull. Because mental health services in our area are non-existent What My health insurance can't pay for it. I don't know entities like you are part of the problem.,1
"I did the depression quiz on this app and got moderately severe, and their artwork for that was horrifying and triggering, and I am immediately deleting this app. I'm not going to be specific as not to trigger anyone else, but if you struggle with depression or substance abuse, don't use this app",1
I did a toxic personality test and at the end the app called me arrogant with to much pride and that the world doesn't revolve around me I've already have had too much pressure at school but thes made me burst out crying for 2 hours if there were less stars I would give less stars,1
"La app es buena, ayuda a organizarte y a ver qué cosas importantes falta realizar, el problema es que funciona mejor en modo invitado qué con una cuenta Con la cuenta tengo que ver videos cada vez que quiero agregar un task nuevo, con la versión de invitado no, pude añadir todos los que quería sin exigirme el premium o ver videos, eso desmotiva demasiado",3
I think this awsome and has helped me alot whith my severe depression,5
no dark mode. unacceptable,1
"No trial period. You can't even look at the product without paying for it, and there is no simple $2 or $3 trial. They get you for the entire amount just to see that they use pdf files. Very disappointed",3
Not once but twice they took money from me. I keep asking for my money back. I don't even know if I'm emailing the right people but I'm telling you right now I don't want this and I want my money back... This app is completely useless and you guys keep taking money from me just before Christmas too. What the hell?!! Scam scam scam.,1
Sick & tired of all these subscriptions. Can a person just pay for something once and own it? We used to live like that and it was great! Let's go back to basics because I'm so tired of endless subscriptions and I'm not paying a penny. Which is the developers' loss because I would pay one time price (reasonable) to have lifetime access. And now I'm just uninstalling the app.,1
"I hate apps with dumb services like this that I'm expected to pay monthly for, not cool.",2
This app sucks. I paid for it its jist a bunch of test and a todo list that dont help with nothing,1
"It wants me to pay to add tasks. Who wants to pay that much for a to do list and task app. So bad. It had an option to watch ad or pay, but after 2 days of using this app it asks me to get the premium or don't use the task option bruh isn't the task the main thing in this app and it wants me to pay like it's a premium option. I can literally write my plans down on a book or in my WhatsApp or notes or whatever. So I don't need this app. I don't recommend this app. Some good features but MANY bad",1
"App is awful, some kind of ridiculous adverts pop up every second, completely useless",1
I can't delete a task and its killing me. I need to be able to move it from day to day and I can't.,4
Doesn't merit any star rating at all. Lousy apps and wasted my subscription money!,1
it helped me stop self harm,5
"It's cute, but after the whole introduction thing, I got so lost. I was confused, and there was just too much stuff. I am a person who loves simplicity and organization. Sorry for the low rating, but it just wasn't for me.",3
Worst app!!,1
Super annoying app. Had all of 2 minutes to check the app out before being forced to give a rating (there was no option to close the window). From there it just got worse. Everything is behind a paywall and there's just constant ads. I got so frustrated I deleted the app almost immediately.,1
I tried the 5 day trial and was charged for the year straight away. Its very hard to unsubscribe and get money back. Feels like a scam or at least poor business practice that creates distrust.,1
No sé porque las notificaciones no tienen algún tipo de sonido pero la aplicación es buena sin importar eso,4
"I just waste money for a cutesy app, the pop up add (that You say is not but a special promo for ""premium"" users) should have an option to just remove it. When I want to copy a task it shows up only on the current day, so if I'm planning my week ahead I still have to do it manually task by task, notifications just don't do the trick to keep me aware of to dos and widgets are completely useless since I cannot see the entire list of tasks. I'll just keep using my email calendar.",1
FRAUD!! Don't want to rate even one star. This is a fake app which will promise you for free trial and will charge you 2k and never refund. All ratings and reviews are paid.,1
You know what stresses me out? When you download an app for stress and management of your life and you get to the very end of answering questions and then ...OHHHH WAIT NOW YOU HAVE TO PAY FOR IT!!!!! BOOOOOOO!,1
This app is amazing but the ads are too many their is no problem with having adds but they are too many like if you even want to write a to-do you must watch an add it's annoying,3
Awful. It just constantly is trying to get you go sign up for a therapist even when you are telling it everything other than the weather is fine! Now struggling to stop it taking payment!,1
"Money hungry app. I was offered a 50% off deal for this app, but with no trial offer. Why would I spend money on an app I can't try first? To use the 7 day trial period I would have to pay the full $40/year. Apps are getting too expensive. I can't afford to spend $40 each and every year that I want to use this app.... And every other app! Whatever happened to one time payments for lifetime usage? Is it necessary for this company to make tens of millions of dollars each year? No, it's not.",1
"Usually love this app but some times it doesn't work the way it should. Today when I went to check off my morning routine, all of the tasks for just today we're missing. Yesterdays task we're still listed and tomorrows task are still there but I had to rewrite today's which took forever and dose not help me stay on task. The time on the sound scapes also does not work. It stops early constantly and then starts up out of nowhere. Edit: day 2 of waking up with no tasks for the day.",3
"The app seems lovely, but I can't even add a routine which makes the app virtually useless. The ""start now"" button vibrates when tapped, but doesn't do anything. Super frustrating. I've reinstalled the app to give it a second chance but still doesn't work. What a shame 😞",1
I luv this app so much it changed the bad me!,5
"One of the best apps I've found for daily planning but I can never stick with them, it's a me problem not a me+ problem lol.",5
The app was difficult to use. I payed for a monthly subscription then was unable to access the account. Overall I would say it was not organized and difficult. The whole purpose of this would be to make ones life easier and that is not what this app has done. Very annoyed I could not get back into the account after I spent $19.99😭,1
